,Ticker,Sector,Industry,Inst Own,ATR,RSI,Price,Levels,,,,,,,,,,
Mon Jun 29 2020,,,,,,,,,,,,,,,,,,
todayEarnings,,,,,,,,,,,,,,,,,,
todayPlus5,,,,,,,,,,,,,,,,,,
,HALL,Financial,Insurance - Property & Casualty,83.80%,0.53,47.62,3.36,3.3,3.12,,,,,,,,,
,IVC,Healthcare,Medical Devices,-,0.54,47.39,6.59,6.56,,,,,,,,,,
,VRA,Consumer Cyclical,Footwear & Accessories,62.70%,0.56,40.61,4.46,4.24,,,,,,,,,,
,BSGM,Healthcare,Medical Devices,14.80%,1.01,37.30,7.53,7,6.9,6.63,,,,,,,,
,CLDT,Real Estate,REIT - Hotel & Motel,88.60%,0.61,42.43,6.21,6.15,,,,,,,,,,
,HT,Real Estate,REIT - Hotel & Motel,84.10%,0.70,46.63,5.85,5,,,,,,,,,,
,JAX,Consumer Cyclical,Restaurants,61.40%,0.53,49.70,5.04,,,,,,,,,,,
,FRGI,Consumer Cyclical,Restaurants,94.80%,0.63,40.83,6.39,,,,,,,,,,,
,XERS,Healthcare,Biotechnology,64.90%,0.64,33.63,2.68,1.95,1.79,,,,,,,,,
,RUBY,Healthcare,Biotechnology,94.00%,0.51,49.25,6.32,,,,,,,,,,,
,LIND,Consumer Cyclical,Travel Services,53.00%,0.80,45.90,7.74,,,,,,,,,,,
,RPT,Real Estate,REIT - Retail,-,0.55,49.09,6.95,,,,,,,,,,,
,FNKO,Consumer Cyclical,Leisure,82.30%,0.55,50.32,5.78,,,,,,,,,,,
todayMinus5,,,,,,,,,,,,,,,,,,